                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2444,                0.59947,                0.92657,                 2.3579,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.0464,                0.82109,                0.99199,                 2.0791,             0.00042822,             0.00042822,             0.00042822
                      3,                0.60084,                0.91322,                0.99866,                 1.9599,             0.00057205,             0.00057205,             0.00057205
                      4,                0.42785,                0.95995,                      1,                 1.8957,             0.00050194,             0.00050194,             0.00050194
                      5,                0.32254,                 0.9773,                      1,                 1.8721,             0.00043126,             0.00043126,             0.00043126
                      6,                0.28466,                0.97063,                      1,                 1.8722,             0.00036057,             0.00036057,             0.00036057
                      7,                0.23356,                0.96929,                      1,                 1.8713,             0.00028988,             0.00028988,             0.00028988
                      8,                0.20991,                0.97463,                      1,                 1.8554,              0.0002192,              0.0002192,              0.0002192
                      9,                0.18685,                0.98131,                      1,                 1.8478,             0.00014851,             0.00014851,             0.00014851
                     10,                0.16779,                0.98398,                      1,                 1.8512,             7.7826e-05,             7.7826e-05,             7.7826e-05
